"ID"	"year"	"month"	"day"	"LON"	"LAT"	"strike"	"Imax"	"depth"	"MWHARVARD"	"K"	"MLH"	"MW"	"faultLength"	"F11"	"F12"	"F21"	"F22"
"A05"	1883	11	14	72.8	40.6	200	7	12	NA	13.9	5.383	5.67661	4.97577690501392	72.7899501016247	40.5789465683557	72.8100562060264	40.6210524797084
"A01"	1885	8	2	74.1	42.7	250	9	15	NA	15.6	6.182	6.20018	11.4320522309688	74.0344640408908	42.6823824212419	74.1655729853495	42.7175800074199
"B01"	1887	6	8	76.8	43.1	250	9	20	NA	16.9	6.793	6.80507	29.8880994755477	76.6276313703173	43.0538626390219	76.9726269350656	43.1458769638058
"C01"	1889	7	11	78.4	43.2	250	9	40	NA	18.5	7.545	7.54955	97.5415157403006	77.8375112180442	43.0484683323395	78.9652539401536	43.3487486008455
"B05"	1897	9	17	68.466667	39.8	270	8	25	NA	15.4	6.088	6.14896	10.5385873605404	68.4051403653184	39.7999836892511	68.5281936346816	39.7999836892511
"C05"	1902	12	16	72.3	40.8	270	9	9	NA	15.6	6.182	6.20018	11.4320522309688	72.2322657509604	40.7999801196521	72.3677342490396	40.7999801196521
"A10"	1907	10	21	68.1	38.7	270	9	24	NA	17	6.84	6.8516	32.18133083058	67.9150309793824	38.6998537123314	68.2849690206176	38.6998537123314
"D01"	1911	1	3	76.9	42.9	250	9.5	25	NA	17.8	7.216	7.22384	58.1365960705899	76.5660380893081	42.8100179046808	77.2349292690579	42.9890036798649
"B10"	1911	2	18	72.8	38.2	200	9	26	NA	17.3	6.981	6.99119	40.1717822549937	72.7217537088487	38.0299307215591	72.8786110990425	38.3700119505868
"D05"	1924	7	12	73.2	40.6	270	8.5	14	NA	15.6	6.182	6.20018	11.4320522309688	73.1324680317668	40.5999802586124	73.2675319682332	40.5999802586124
"E05"	1927	8	12	71.6	41	270	8	14	NA	14.8	5.806	5.96002	7.80573494321281	71.5536119508233	40.9999906664609	71.6463880491767	40.9999906664609
"E01"	1932	12	24	78.2	42.8	250	6.5	23	NA	14	5.43	5.7081	5.23105155176437	78.1699593743289	42.7919433771888	78.2300484177927	42.8080487288537
"F05"	1933	9	9	70.7	40.1	270	6	26	NA	13.6	5.242	5.58214	4.28229517950546	70.6748895432952	40.0999972782274	70.7251104567048	40.0999972782274
"H05"	1937	12	18	70.9	42.1	270	7	25	NA	15.6	6.182	6.20018	11.4320522309688	70.8308998855137	42.0999791956389	70.9691001144863	42.0999791956389
"F01"	1938	6	20	75.8	42.7	250	8.5	21	NA	16	6.37	6.3863	15.3655107219485	75.7119234662966	42.6763120115112	75.8881434227449	42.723620114677
"C10"	1941	4	20	70.5	39.2	270	9	8	NA	15.6	6.182	6.20018	11.4320522309688	70.4338285180011	39.1999812089453	70.5661714819989	39.1999812089453
"I05"	1942	1	18	71.6	41.1	270	7	21	NA	14	5.43	5.7081	5.23105155176437	71.5688657160915	41.0999957935358	71.6311342839085	41.0999957935358
"A06"	1946	11	2	72	41.9	270	9	25	NA	17	6.84	6.8516	32.18133083058	71.8060909885733	41.8998362863484	72.1939090114267	41.8998362863484
"B06"	1947	6	2	72.3	40.9	270	7.5	13	NA	14.5	5.665	5.86555	6.71783758756042	72.2601373110366	40.8999931109936	72.3398626889634	40.8999931109936
