idL,idN,year,month,day,Imax,depth,Mw,strike,dip,,,LON,LAT
A01,1,1885,8,2,9,15,,,,,,74.100000,42.700000
A02,9,1957,5,8,6,7,,,,,,74.600000,41.600000
A03,20,1975,2,12,6,10,,,,,,78.800000,43.300000
A04,28,1988,6,17,6,21,5,6,29,,,77.400000,42.933333
A05,31,1883,11,14,7,12,,,,,,72.800000,40.600000
A06,39,1946,11,2,9,25,,,,,,72.000000,41.900000
A07,47,1966,4,30,6.5,20,,,,,,71.800000,41.100000
A08,54,1977,1,31,7.5,20,,,,,,70.866667,40.083333
A09,61,1985,10,13,8,10,5,8,48,,,69.800000,40.300000
A10,65,1907,10,21,9,24,,,,,,68.100000,38.700000
A11,73,1983,12,16,7,15,5,9,228,,,72.900000,39.400000
B01,2,1887,6,8,9,20,,,,,,76.800000,43.100000
B02,10,1958,10,13,6.5,12,,,,,,75.100000,41.600000
B03,21,1978,3,24,8,22,,,,,,78.583333,42.883333
B04,29,1990,11,12,8,15,5,1,223,,,77.933333,42.933333
B05,32,1897,9,17,8,25,,,,,,68.466667,39.800000
B06,40,1947,6,2,7.5,13,,,,,,72.300000,40.900000
B07,48,1967,5,18,6.5,25,,,,,,70.750000,40.616667
B08,55,1977,6,3,6.5,15,,,,,,71.816667,40.000000
B09,62,1987,3,26,6.5,5,5,2,203,,,69.950000,41.816667
B10,66,1911,2,18,9,26,,,,,,72.800000,38.200000
B11,74,1984,10,26,7.5,15,6,1,37,,,71.233333,39.200000
C01,3,1889,7,11,9,40,,,,,,78.400000,43.200000
C02,11,1960,12,18,6,17,,,,,,78.400000,42.300000
C03,22,1979,4,6,5.5,25,,,,,,77.433333,41.966667
C04,30,1992,8,19,9.5,25,7,2,250,,,73.633333,42.066667
C05,33,1902,12,16,9,9,,,,,,72.300000,40.800000
C06,41,1959,7,12,6,14,,,,,,72.800000,41.700000
C07,49,1970,1,19,7,25,,,,,,69.216667,41.050000
C08,56,1977,12,6,7,15,,,,,,69.700000,41.566667
C09,63,1988,12,21,6,10,,,,,,72.316667,41.233333
C10,67,1941,4,20,9,8,,,,,,70.500000,39.200000
C11,75,1985,8,23,7,20,5,308,,,,75.483333,39.433333
D01,4,1911,1,3,9.5,25,,,,,,76.900000,42.900000
D02,12,1965,9,25,6,25,,,,,,75.033333,41.533333
D03,23,1980,7,5,6,20,,,,,,77.500000,41.916667
D05,34,1924,7,12,8.5,14,,,,,,73.200000,40.600000
D06,42,1959,10,24,7,13,,,,,,70.000000,41.700000
D07,50,1971,10,28,6,17,,,,,,72.250000,41.950000
D08,57,1980,12,11,7,10,,,,,,69.050000,41.333333
D09,64,1992,5,15,8,10,,,,,,72.416667,41.100000
D10,68,1949,7,10,9,16,,,,,,70.800000,39.200000
E01,5,1932,12,24,6.5,23,,,,,,78.200000,42.800000
E02,13,1965,10,18,6,15,,,,,,77.550000,41.966667
E03,24,1982,12,31,6,15,5,3,274,,,77.366667,42.866667
E05,35,1927,8,12,8,14,,,,,,71.600000,41.000000
E06,43,1962,9,3,7,20,,,,,,73.100000,40.933333
E07,51,1972,3,17,6.5,20,,,,,,69.650000,40.283333
E08,58,1982,5,6,7.5,20,,,,,,71.500000,40.166667
E10,69,1955,4,15,9,25,,,,,,74.600000,39.900000
F01,6,1938,6,20,8.5,21,,,,,,75.800000,42.700000
F02,14,1967,9,28,6,18,,,,,,79.700000,42.100000
F03,25,1983,12,21,6,20,5,5,167,,,77.250000,42.066667
F05,36,1933,9,9,6,26,,,,,,70.700000,40.100000
F06,44,1963,10,19,6.5,8,,,,,,71.616667,41.233333
F07,52,1974,1,22,7,24,,,,,,71.900000,40.200000
F08,59,1984,2,17,8,10,5,5,240,,,71.016667,40.850000
F10,70,1961,4,27,6,26,,,,,,72.900000,39.650000
G01,7,1948,7,28,7,6,,,,,,75.400000,41.400000
G02,15,1967,11,30,6,10,,,,,,77.400000,43.000000
G03,26,1984,2,2,6,15,6,1,268,,,71.400000,42.866667
G06,45,1965,3,17,7,12,,,,,,69.366667,40.800000
G07,53,1974,2,20,6.5,15,,,,,,75.250000,40.716667
G08,60,1985,4,27,7.5,15,5,5,103,,,71.116667,40.850000
G10,71,1974,8,11,6.5,15,,,,,,73.850000,39.383333
H01,8,1954,12,3,7,15,,,,,,74.800000,41.400000
H02,16,1968,3,20,5.5,17,,,,,,75.066667,41.150000
H03,27,1988,3,13,6,7,,,,,,75.466667,42.100000
H05,37,1937,12,18,7,25,,,,,,70.900000,42.100000
H06,46,1966,4,25,6,8,,,,,,69.283333,41.383333
H10,72,1978,11,1,8,30,,,,,,72.600000,39.400000
I02,17,1970,6,5,8.5,15,,,,,,78.733333,42.516667
I05,38,1942,1,18,7,21,,,,,,71.600000,41.100000
L02,18,1971,5,10,7,20,,,,,,71.400000,42.916667
M02,19,1974,7,2,6.5,15,,,,,,75.316667,42.233333
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,strike ,dip,w,strike,dip ,w,stike,dip,w,,,,
1,200,60,0.2,100,70,0.4,300,30,0.4,,,,
2,150,45,1,,,,,,,,,,
3,80,45,0.5,150,45, 0.5,,,,,,,
4,100,80,0.5,200,40,0.5,,,,,,,
5,250,45,0.9,0,45,0.1,,,,,,,
6,100,70,0.1,300,30,0.4,200,45,0.5,,,,
7,270,45,0.9,100,25,0.1,,,,,,,
8,90,45,0.2,150,45,0.1,250,40,0.7,,,,
9,90,60,0.5,300,30,0.5,,,,,,,
10,100,50,0.5,220,70,0.5,,,,,,,
