idL	idN	year	month	day	Imax	depth	LON	LAT	SeimoZone	strike1	dip1	w1	strike2	dip2	w2	strike3	dip3	w3	Mw	Harvard?	K	Mag
A05	31	1883	11	14	7	12	72.8	40.6	6	200	45	0.5	300	30	0.4	100	70	0.1		F	13.900000	5.500000
A01	1	1885	8	2	9	15	74.1	42.7	8	250	40	0.7	90	45	0.2	150	45	0.1		F	15.600000	6.500000
B01	2	1887	6	8	9	20	76.8	43.1	8	250	40	0.7	90	45	0.2	150	45	0.1		F	16.900000	7.300000
C01	3	1889	7	11	9	40	78.4	43.2	8	250	40	0.7	90	45	0.2	150	45	0.1		F	18.500000	8.300000
B05	32	1897	9	17	8	25	68.466667	39.8	7	270	45	0.9	100	25	0.1					F	15.400000	6.600000
C05	33	1902	12	16	9	9	72.3	40.8	7	270	45	0.9	100	25	0.1					F	15.600000	6.400000
A10	65	1907	10	21	9	24	68.1	38.7	7	270	45	0.9	100	25	0.1					F	17.000000	7.300000
D01	4	1911	1	3	9.5	25	76.9	42.9	8	250	40	0.7	90	45	0.2	150	45	0.1		F	17.800000	8.200000
B10	66	1911	2	18	9	26	72.8	38.2	6	200	45	0.5	300	30	0.4	100	70	0.1		F	17.300000	7.400000
D05	34	1924	7	12	8.5	14	73.2	40.6	7	270	45	0.9	100	25	0.1					F	15.600000	6.500000
E05	35	1927	8	12	8	14	71.6	41	7	270	45	0.9	100	25	0.1					F	14.800000	6.000000
E01	5	1932	12	24	6.5	23	78.2	42.8	8	250	40	0.7	90	45	0.2	150	45	0.1		F	14.000000	5.600000
F05	36	1933	9	9	6	26	70.7	40.1	7	270	45	0.9	100	25	0.1					F	13.600000	5.500000
H05	37	1937	12	18	7	25	70.9	42.1	7	270	45	0.9	100	25	0.1					F	15.600000	6.500000
F01	6	1938	6	20	8.5	21	75.8	42.7	8	250	40	0.7	90	45	0.2	150	45	0.1		F	16.000000	6.900000
C10	67	1941	4	20	9	8	70.5	39.2	7	270	45	0.9	100	25	0.1					F	15.600000	6.400000
I05	38	1942	1	18	7	21	71.6	41.1	7	270	45	0.9	100	25	0.1					F	14.000000	5.900000
A06	39	1946	11	2	9	25	72	41.9	7	270	45	0.9	100	25	0.1					F	17.000000	7.500000
B06	40	1947	6	2	7.5	13	72.3	40.9	7	270	45	0.9	100	25	0.1					F	14.500000	5.900000
G01	7	1948	7	28	7	6	75.4	41.4	8	250	40	0.7	90	45	0.2	150	45	0.1		F	13.600000	5.200000
D10	68	1949	7	10	9	16	70.8	39.2	6	200	45	0.5	300	30	0.4	100	70	0.1		F	17.000000	7.400000
H01	8	1954	12	3	7	15	74.8	41.4	8	250	40	0.7	90	45	0.2	150	45	0.1		F	14.000000	5.400000
E10	69	1955	4	15	9	25	74.6	39.9	6	200	45	0.5	300	30	0.4	100	70	0.1		F	16.400000	7.000000
A02	9	1957	5	8	6	7	74.6	41.6	8	250	40	0.7	90	45	0.2	150	45	0.1		F	13.000000	4.700000
B02	10	1958	10	13	6.5	12	75.1	41.6	8	250	40	0.7	90	45	0.2	150	45	0.1		F	13.000000	5.200000
C06	41	1959	7	12	6	14	72.8	41.7	7	270	45	0.9	100	25	0.1					F	12.900000	5.000000
D06	42	1959	10	24	7	13	70	41.7	7	270	45	0.9	100	25	0.1					F	14.000000	5.700000
C02	11	1960	12	18	6	17	78.4	42.3	8	250	40	0.7	90	45	0.2	150	45	0.1		F	12.800000	4.900000
F10	70	1961	4	27	6	26	72.9	39.65	6	200	45	0.5	300	30	0.4	100	70	0.1		F	14.200000	5.500000
E06	43	1962	9	3	7	20	73.1	40.933333	7	270	45	0.9	100	25	0.1					F	14.000000	5.500000
F06	44	1963	10	19	6.5	8	71.616667	41.233333	7	270	45	0.9	100	25	0.1					F	12.500000	4.700000
G06	45	1965	3	17	7	12	69.366667	40.8	7	270	45	0.9	100	25	0.1					F	13.000000	5.500000
D02	12	1965	9	25	6	25	75.033333	41.533333	8	250	40	0.7	90	45	0.2	150	45	0.1		F	13.000000	5.200000
E02	13	1965	10	18	6	15	77.55	41.966667	8	250	40	0.7	90	45	0.2	150	45	0.1		F	13.000000	5.000000
H06	46	1966	4	25	6	8	69.283333	41.383333	7	270	45	0.9	100	25	0.1					F	13.300000	5.100000
A07	47	1966	4	30	6.5	20	71.8	41.1	7	270	45	0.9	100	25	0.1					F	13.600000	5.200000
B07	48	1967	5	18	6.5	25	70.75	40.616667	7	270	45	0.9	100	25	0.1					F	12.000000	4.600000
F02	14	1967	9	28	6	18	79.7	42.1	8	250	40	0.7	90	45	0.2	150	45	0.1		F	13.500000	5.100000
G02	15	1967	11	30	6	10	77.4	43	8	250	40	0.7	90	45	0.2	150	45	0.1		F	12.000000	4.500000
H02	16	1968	3	20	5.5	17	75.066667	41.15	8	250	40	0.7	90	45	0.2	150	45	0.1		F	12.600000	4.900000
C07	49	1970	1	19	7	25	69.216667	41.05	7	270	45	0.9	100	25	0.1					F	12.100000	4.700000
I02	17	1970	6	5	8.5	15	78.733333	42.516667	8	250	40	0.7	90	45	0.2	150	45	0.1		F	15.600000	6.800000
L02	18	1971	5	10	7	20	71.4	42.916667	8	250	40	0.7	90	45	0.2	150	45	0.1		F	14.000000	5.700000
D07	50	1971	10	28	6	17	72.25	41.95	7	270	45	0.9	100	25	0.1					F	14.000000	5.600000
E07	51	1972	3	17	6.5	20	69.65	40.283333	7	270	45	0.9	100	25	0.1					F	13.500000	5.000000
F07	52	1974	1	22	7	24	71.9	40.2	7	270	45	0.9	100	25	0.1					F	12.700000	5.000000
G07	53	1974	2	20	6.5	15	75.25	40.716667	8	250	40	0.7	90	45	0.2	150	45	0.1		F	13.200000	5.100000
M02	19	1974	7	2	6.5	15	75.316667	42.233333	8	250	40	0.7	90	45	0.2	150	45	0.1		F	12.900000	4.900000
G10	71	1974	8	11	6.5	15	73.85	39.383333	6	200	45	0.5	300	30	0.4	100	70	0.1		F	16.600000	7.300000
A03	20	1975	2	12	6	10	78.8	43.3	8	250	40	0.7	90	45	0.2	150	45	0.1		F	13.000000	5.100000
A08	54	1977	1	31	7.5	20	70.866667	40.083333	7	296	35		104	55					6	T	15.500000	6.300000
B08	55	1977	6	3	6.5	15	71.816667	40	7	128	57		239	61					5.3	T	14.200000	5.800000
C08	56	1977	12	6	7	15	69.7	41.566667	7	270	45	0.9	100	25	0.1					F	14.000000	5.600000
B03	21	1978	3	24	8	22	78.583333	42.883333	8	270	44		155	67					6.9	T	15.600000	6.600000
H10	72	1978	11	1	8	30	72.6	39.4	6	200	45	0.5	300	30	0.4	100	70	0.1	6.6	T	16.200000	6.800000
C03	22	1979	4	6	5.5	25	77.433333	41.966667	8	121	19		270	74					5.3	T	13.500000	5.300000
D03	23	1980	7	5	6	20	77.5	41.916667	8	250	40	0.7	90	45	0.2	150	45	0.1	5.4	T	13.800000	5.600000
D08	57	1980	12	11	7	10	69.05	41.333333	7	270	45	0.9	100	25	0.1					F	13.500000	5.100000
E08	58	1982	5	6	7.5	20	71.5	40.166667	7	112	38		249	60					5.7	T	14.400000	5.800000
E03	24	1982	12	31	6	15	77.366667	42.866667	8	274	26		57	69					5.3	T	13.600000	5.600000
A11	73	1983	12	16	7	15	72.9	39.4	6	228	39		60	51					5.9	T	14.600000	6.100000
F03	25	1983	12	21	6	20	77.25	42.066667	8	250	40	0.7	90	45	0.2	150	45	0.1		F	12.500000	4.100000
G03	26	1984	2	2	6	15	71.4	42.866667	8	250	40	0.7	90	45	0.2	150	45	0.1		F	12.600000	4.800000
F08	59	1984	2	17	8	10	71.016667	40.85	7	240	39		104	60					5.5	T	14.100000	5.600000
B11	74	1984	10	26	7.5	15	71.233333	39.2	6	37	77		305	81					6.1	T	14.800000	6.100000
G08	60	1985	4	27	7.5	15	71.116667	40.85	7	103	65		197	83					5.5	T	12.800000	4.900000
C11	75	1985	8	23	7	20	75.483333	39.433333	6	308	85		38	85					5	T	16.500000	7.000000
A09	61	1985	10	13	8	10	69.8	40.3	7	48	46		266	51					5.8	T	14.800000	6.000000
