idL,idN,year,month,day,Imax,depth
A01,1,1885,08,02,9,15
B01,2,1887,06,08,9,20
C01,3,1889,07,11,9,40
D01,4,1911,01,03,9.5,25
E01,5,1932,12,24,6.5,23
F01,6,1938,06,20,8.5,21
G01,7,1948,07,28,7,6
H01,8,1954,12,03,7,15
A02,9,1957,05,08,6,7
B02,10,1958,10,13,6.5,12
C02,11,1960,12,18,6,17
D02,12,1965,09,25,6,25
E02,13,1965,10,18,6,15,
F02,14,1967,09,28,6,18
G02,15,1967,11,30,6,10
H02,16,1968,03,20,5.5,17
I02,17,1970,06,05,8.5,15
L02,18,1971,05,10,7,20
M02,19,1974,07,02,6.5,15
A03,20,1975,02,12,6,10
B03,21,1978,03,24,8,22
C03,22,1979,04,06,5.5,25
D03,23,1980,07,05,6,20
E03,24,1982,12,31,6,15
F03,25,1983,12,21,6,20
G03,26,1984,02,02,6,15
H03,27,1988,03,13,6,7
A04,28,1988,06,17,6,21
B04,29,1990,11,12,8,15
C04,30,1992,08,19,9.5,25
A05,31,1883,11,14,7,12
B05,32,1897,09,17,8,25
C05,33,1902,12,16,9,9
D05,34,1924,07,12,8.5,14
E05,35,1927,08,12,8,14
F05,36,1933,09,09,6,26
H05,37,1937,12,18,7,25,
I05,38,1942,01,18,7,21
A06,39,1946,11,02,9,25
B06,40,1947,06,02,7.5,13
C06,41,1959,07,12,6,14
D06,42,1959,10,24,7,13
E06,43,1962,09,03,7,20
F06,44,1963,10,19,6.5,8
G06,45,1965,03,17,7,12
H06,46,1966,04,25,6,8
A07,47,1966,04,30,6.5,20
B07,48,1967,05,18,6.5,25
C07,49,1970,01,19,7,25
D07,50,1971,10,28,6,17
E07,51,1972,03,17,6.5,20
F07,52,1974,01,22,7,24
G07,53,1974,02,20,6.5,15
A08,54,1977,01,31,7.5,20
B08,55,1977,06,03,6.5,15
C08,56,1977,12,06,7,15
D08,57,1980,12,11,7,10
E08,58,1982,05,06,7.5,20
F08,59,1984,02,17,8,10
G08,60,1985,04,27,7.5,15
A09,61,1985,10,13,8,10
B09,62,1987,03,26,6.5,5
C09,63,1988,12,21,6,10
D09,64,1992,05,15,8,10
A10,65,1907,10,21,9,24
B10,66,1911,02,18,9,26
C10,67,1941,04,20,9,8
D10,68,1949,07,10,9,16
E10,69,1955,04,15,9,25
F10,70,1961,04,27,6,26
G10,71,1974,08,11,6.5,15
H10,72,1978,11,01,8,30
A11,73,1983,12,16,7,15
B11,74,1984,10,26,7.5,15
C11,75,1985,08,23,7,20
