"ID"	"year"	"month"	"day"	"LON"	"LAT"	"strike"	"Imax"	"depth"	"MWHARVARD"	"K"	"MLH"	"MW"	"faultLength"	"F1.1"	"F1.2"	"F2.1"	"F2.2"
"A05"	1883	11	14	72.8	40.6	200	7	12	NA	13.9	5.383	5.67661	4.97577690501392	72.7899358420437	40.5789983218758	72.8100704835253	40.6210008040819
"A01"	1885	8	2	74.1	42.7	250	9	15	NA	15.6	6.182	6.20018	11.4320522309688	74.0343630338988	42.682419252721	74.1656741065948	42.7175432509325
"B01"	1887	6	8	76.8	43.1	250	9	20	NA	16.9	6.793	6.80507	29.8880994755477	76.6273617998622	43.05395585318	76.9728973146961	43.145784240254
"C01"	1889	7	11	78.4	43.2	250	9	40	NA	18.5	7.545	7.54955	97.5415157403006	77.8366297666668	43.0487717238053	78.9661440859159	43.348450375055
"B05"	1897	9	17	68.466667	39.8	270	8	25	NA	15.4	6.088	6.14896	10.5385873605404	68.4050558861409	39.7999837092349	68.5282781138591	39.7999837092349
"C05"	1902	12	16	72.3	40.8	270	9	9	NA	15.6	6.182	6.20018	11.4320522309688	72.2321688283046	40.7999801394186	72.3678311716953	40.7999801394186
"A10"	1907	10	21	68.1	38.7	270	9	24	NA	17	6.84	6.8516	32.18133083058	67.9147887021527	38.6998539284585	68.2852112978473	38.6998539284585
"D01"	1911	1	3	76.9	42.9	250	9.5	25	NA	17.8	7.216	7.22384	58.1365960705899	76.565520073631	42.8102028359677	77.235450292394	42.9888206467559
"B10"	1911	2	18	72.8	38.2	200	9	26	NA	17.3	6.981	6.99119	40.1717822549937	72.7216536875947	38.0304210627788	72.8787120557355	38.3695266306666
"D05"	1924	7	12	73.2	40.6	270	8.5	14	NA	15.6	6.182	6.20018	11.4320522309688	73.1323721820645	40.5999802791547	73.2676278179354	40.5999802791547
"E05"	1927	8	12	71.6	41	270	8	14	NA	14.8	5.806	5.96002	7.80573494321281	71.553545034205	40.9999906753084	71.646454965795	40.9999906753084
"E01"	1932	12	24	78.2	42.8	250	6.5	23	NA	14	5.43	5.7081	5.23105155176437	78.1699128915135	42.7919600799088	78.2300949247439	42.8080320416692
"F05"	1933	9	9	70.7	40.1	270	6	26	NA	13.6	5.242	5.58214	4.28229517950546	70.674854630301	40.0999972813739	70.725145369699	40.0999972813739
"H05"	1937	12	18	70.9	42.1	270	7	25	NA	15.6	6.182	6.20018	11.4320522309688	70.8307957782777	42.09997921004	70.9692042217222	42.09997921004
"F01"	1938	6	20	75.8	42.7	250	8.5	21	NA	16	6.37	6.3863	15.3655107219485	75.7117877319998	42.6763615331035	75.8882793634437	42.7235707285594
"C10"	1941	4	20	70.5	39.2	270	9	8	NA	15.6	6.182	6.20018	11.4320522309688	70.4337399472616	39.1999812345579	70.5662600527384	39.1999812345579
"I05"	1942	1	18	71.6	41.1	270	7	21	NA	14	5.43	5.7081	5.23105155176437	71.5688206226943	41.0999957974257	71.6311793773057	41.0999957974257
"A06"	1946	11	2	72	41.9	270	9	25	NA	17	6.84	6.8516	32.18133083058	71.8058011066653	41.8998364073029	72.1941988933347	41.8998364073029
"B06"	1947	6	2	72.3	40.9	270	7.5	13	NA	14.5	5.665	5.86555	6.71783758756042	72.260080039059	40.8999931176835	72.339919960941	40.8999931176835
"G01"	1948	7	28	75.4	41.4	250	7	6	NA	13.6	5.242	5.58214	4.28229517950546	75.3759069865965	41.3934189922728	75.4240978914922	41.4065759810681
"D10"	1949	7	10	70.8	39.2	200	9	16	NA	17	6.84	6.8516	32.18133083058	70.7363284817511	39.0641550435912	70.8639182064142	39.3358101663611
"H01"	1954	12	3	74.8	41.4	250	7	15	NA	14	5.43	5.7081	5.23105155176437	74.7705697616741	41.3919602687008	74.829437517372	41.4080322305571
"E10"	1955	4	15	74.6	39.9	200	9	25	NA	16.4	6.558	6.57242	20.6523653825457	74.5586972398062	39.8128253149085	74.6414079726169	39.9871599961038
"A02"	1957	5	8	74.6	41.6	250	6	7	NA	13	4.96	5.3932	3.17181610554143	74.5820990978699	41.5951260433073	74.6179036055185	41.6048711795579
"B02"	1958	10	13	75.1	41.6	250	6.5	12	NA	13	4.96	5.3932	3.17181610554143	75.0820990978699	41.5951260433073	75.1179036055186	41.6048711795579
"C06"	1959	7	12	72.8	41.7	270	6	14	NA	12.9	4.913	5.36171	3.0170318852203	72.7818503628669	41.6999985722061	72.8181496371331	41.6999985722061
"D06"	1959	10	24	70	41.7	270	7	13	NA	14	5.43	5.7081	5.23105155176437	69.9685314281447	41.6999957077628	70.0314685718553	41.6999957077628
"C02"	1960	12	18	78.4	42.3	250	6	17	NA	12.8	4.866	5.33022	2.86980111505619	78.3836246612227	42.295590224586	78.4163776319553	42.3044074454078
"F10"	1961	4	27	72.9	39.65	200	6	26	NA	14.2	5.524	5.77108	5.78156216950208	72.8884687709941	39.6255972139124	72.9115393720237	39.6744016450826
"E06"	1962	9	3	73.1	40.933333	270	7	20	NA	14	5.43	5.7081	5.23105155176437	73.0688994113632	40.9333288220412	73.1311005886368	40.9333288220412
"F06"	1963	10	19	71.616667	41.233333	270	6.5	8	NA	12.5	4.725	5.23575	2.46983249364757	71.6019157212865	41.2333320587349	71.6314182787136	41.2333320587349
"G06"	1965	3	17	69.366667	40.8	270	7	12	NA	13	4.96	5.3932	3.17181610554143	69.347847278212	40.7999984711684	69.385486721788	40.7999984711684
"D02"	1965	9	25	75.033333	41.533333	250	6	25	NA	13	4.96	5.3932	3.17181610554143	75.015450556156	41.5284590465577	75.0512181381218	41.5382041828093
"E02"	1965	10	18	77.55	41.966667	250	6	15	NA	13	4.96	5.3932	3.17181610554143	77.5319964551979	41.9617930253092	77.5680062989409	41.9715381615543
"H06"	1966	4	25	69.283333	41.383333	270	6	8	NA	13.3	5.101	5.48767	3.68546507499907	69.2612705560627	41.3833308930486	69.3053954439373	41.3833308930486
"A07"	1966	4	30	71.8	41.1	270	6.5	20	NA	13.6	5.242	5.58214	4.28229517950546	71.7744756292892	41.0999971836242	71.8255243707109	41.0999971836242
"B07"	1967	5	18	70.75	40.616667	270	6.5	25	NA	12	4.49	5.0783	1.92321129085007	70.7386201491315	40.6166664415467	70.7613798508686	40.6166664415467
"F02"	1967	9	28	79.7	42.1	250	6	18	NA	13.5	5.195	5.55065	4.07331972238907	79.6768313922732	42.0937402046323	79.72317318082	42.1062551341007
"G02"	1967	11	30	77.4	43	250	6	10	NA	12	4.49	5.0783	1.92321129085007	77.3889015401207	42.9970450118739	77.4110995272708	43.0029539157296
"H02"	1968	3	20	75.066667	41.15	250	5.5	17	NA	12.6	4.772	5.26724	2.59654348358632	75.0521136036783	41.1460102540917	75.0812221672549	41.1539879140358
"C07"	1970	1	19	69.216667	41.05	270	7	25	NA	12.1	4.537	5.10979	2.02187871349989	69.2046248723295	41.0499993732671	69.2287091276705	41.0499993732671
"I02"	1970	6	5	78.733333	42.516667	250	8.5	15	NA	15.6	6.182	6.20018	11.4320522309688	78.6678888138474	42.4990863726665	78.7988139804456	42.5342103710134
"L02"	1971	5	10	71.4	42.916667	250	7	20	NA	14	5.43	5.7081	5.23105155176437	71.3698560066489	42.9086270637929	71.4301518564368	42.924699025545
"D07"	1971	10	28	72.25	41.95	270	6	17	NA	14	5.43	5.7081	5.23105155176437	72.2184083126456	41.9499956699087	72.2815916873543	41.9499956699087
"E07"	1972	3	17	69.65	40.283333	270	6.5	20	NA	13.5	5.195	5.55065	4.07331972238907	69.6260169773082	40.2833305242193	69.6739830226918	40.2833305242193
"F07"	1974	1	22	71.9	40.2	270	7	24	NA	12.7	4.819	5.29873	2.7297551876474	71.8839474309071	40.1999988913827	71.9160525690929	40.1999988913827
"G07"	1974	2	20	75.25	40.716667	250	6.5	15	NA	13.2	5.054	5.45618	3.50561485065666	75.2304801867435	40.7112800034766	75.2695229715666	40.7220507080344
"M02"	1974	7	2	75.316667	42.233333	250	6.5	15	NA	12.9	4.913	5.36171	3.0170318852203	75.2994698043331	42.2286969279664	75.3338667215858	42.2379665028331
"G10"	1974	8	11	73.85	39.383333	200	6.5	15	NA	16.6	6.652	6.66548	23.9431452409689	73.8024807419311	39.2822665934437	73.8976570658934	39.484380022556
"A03"	1975	2	12	78.8	43.3	250	6	10	NA	13	4.96	5.3932	3.17181610554143	78.7816066234743	43.2951259580667	78.8183963248473	43.3048710942908
"A08"	1977	1	31	70.866667	40.083333	296	7.5	20	6	15.5	6.135	6.15365	10.6174078408272	70.8106284213014	40.1042249122503	70.9226711741654	40.0624141024496
"B08"	1977	6	3	71.816667	40	128	6.5	15	5.3	14.2	5.524	5.77108	5.78156216950208	71.8433736829328	39.9840092555067	71.8433861920867	40.0159846119289
"C08"	1977	12	6	69.7	41.566667	270	7	15	NA	14	5.43	5.7081	5.23105155176437	69.668596454222	41.5666627278315	69.7314035457781	41.5666627278315
"B03"	1978	3	24	78.583333	42.883333	270	8	22	6.9	15.6	6.182	6.20018	11.4320522309688	78.5132565773526	42.8833116314618	78.6534094226473	42.8833116314618
"H10"	1978	11	1	72.6	39.4	200	8	30	6.6	16.2	6.464	6.47936	17.8138749776432	72.564623822582	39.3248076909835	72.6354525238733	39.4751815727173
"C03"	1979	4	6	77.433333	41.966667	121	5.5	25	5.3	13.5	5.195	5.55065	4.07331972238907	77.4544215775399	41.9572421376104	77.4544278168167	41.9760880019979
